Date,AnimalID,StartTime,EndTime,TotalResponses,ReinforcedResponses,0-2s,2-4s,4-6s,6-8s,8-10s,10-12s,12-14s,14-16s,16-18s,18-20s,20-22s,22-24s,24-26s,26-28s,28-30s,30-32s,32-34s
09/03/25,1,8:13:52,9:16:04,161.000,74.000,74,7,1,4,1,2,2,7,1,2,6,6,4,2,1,1,1
09/03/25,2,8:13:52,9:16:04,259.000,95.000,95,1,3,8,9,4,6,8,3,3,6,5,2,4,6,7,7
09/03/25,3,8:13:52,9:16:04,118.000,68.000,69,5,13,2,2,3,0,0,1,2,0,1,2,1,0,0,0
09/03/25,4,8:13:52,9:16:04,196.000,89.000,94,4,8,1,2,4,4,2,3,2,5,6,7,3,2,5,4
09/03/25,5,8:13:52,9:16:04,164.000,80.000,79,5,10,11,3,2,1,1,3,1,0,0,1,1,1,0,1
09/03/25,6,8:13:52,9:16:04,169.000,89.000,91,11,12,4,5,2,2,3,0,1,1,1,4,3,2,1,2
09/03/25,1,9:30:44,10:31:02,118.000,99.000,99,3,0,2,0,2,0,0,0,1,1,1,1,0,2,2,0
09/03/25,2,9:30:55,10:31:02,187.000,84.000,91,5,6,3,9,9,7,3,3,3,2,3,8,4,3,4,2
09/03/25,3,9:30:55,10:31:02,304.000,110.000,109,14,14,12,13,6,8,1,4,8,7,6,4,6,4,6,5
09/03/25,4,9:30:55,10:31:02,605.000,110.000,133,61,96,37,23,14,9,7,9,18,18,20,15,12,12,9,6
09/03/25,5,9:30:55,10:31:02,242.000,112.000,113,6,4,5,4,5,1,0,4,2,3,1,2,1,1,3,1
09/03/25,6,9:30:55,10:31:02,99.000,66.000,65,3,1,2,1,0,0,0,0,1,0,4,2,0,1,0,0
09/03/25,1,10:46:40,11:46:49,58.000,54.000,53,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
09/03/25,2,10:46:40,11:46:49,69.000,53.000,52,1,0,0,2,4,0,2,0,0,2,0,0,1,0,0,0
09/03/25,3,10:46:40,11:46:49,108.000,62.000,61,3,2,3,1,0,0,0,2,0,1,2,0,1,1,2,0
09/03/25,4,10:46:31,11:46:49,151.000,84.000,92,14,13,7,7,3,0,0,3,0,1,1,0,1,0,0,2
09/03/25,5,10:46:40,11:46:49,93.000,71.000,71,4,2,0,3,0,0,0,2,2,0,1,1,1,0,0,0
09/03/25,6,10:46:40,11:46:49,156.000,85.000,85,2,11,4,2,2,2,0,0,1,1,1,1,1,1,1,1
09/03/25,1,12:04:47,13:04:57,112.000,87.000,86,1,1,2,0,2,1,0,3,1,1,1,1,0,1,1,1
09/03/25,2,12:04:47,13:04:57,207.000,86.000,90,3,1,4,4,2,7,6,8,11,15,8,5,2,1,1,4
09/03/25,3,12:04:47,13:04:57,178.000,68.000,69,9,6,4,3,4,5,5,7,7,1,2,5,2,4,4,4
09/03/25,4,12:04:47,13:04:57,162.000,81.000,82,5,5,9,5,6,3,3,1,4,2,1,3,2,3,1,2
09/03/25,5,12:04:47,13:04:57,168.000,80.000,80,5,5,2,2,1,0,3,3,0,1,0,1,1,0,1,0
09/03/25,6,12:04:47,13:04:57,229.000,91.000,93,7,6,5,8,8,8,6,4,5,6,2,2,5,2,1,3
